Name,,r,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,,r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",,r,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,,r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))"
Unit,,考,,,,,,,,,,,,,,考,,考,,考,,考,,考,,考,,,考,,,,,,,,,,,,,,考,,考,,考,,考,,考,,考,
Note,"耳_TC=10^-3.5, p_d=10^-3.0, Simulation",,t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-3.5, p_d=10^-3.0, Theory",t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-2.0, p_d=10^-5.0, Simulation",,t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-2.0, p_d=10^-5.0, Theory",t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而
,,1.85,-2.12501,0.01446,-2.81488,0.01169,-3.1493,0.01724,-4.62261,0.23128,NaN,NaN,NaN,NaN,,1.80001,-2.05781,2.70001,-2.9363,3.60001,-3.37204,10.80001,-4.85933,18.00001,-5.85961,27.00001,-6.31867,,1.85,-1.94883,0.00269,-2.26791,0.03454,-2.43743,0.0448,-3.08618,0.0966,-4.66579,0.86109,NaN,NaN,,1.80001,-1.90381,2.70001,-2.47986,3.60001,-2.84632,6.30001,-3.69809,9.90001,-4.54391,11.70001,-4.95271
,,1.95,-2.15312,0.01396,-2.82248,0.00829,-3.15316,0.02055,-4.60943,0.17175,NaN,NaN,NaN,NaN,,1.90001,-2.09162,2.85001,-2.95172,3.80001,-3.38577,11.40001,-4.87169,19.00001,-5.86648,28.50001,-6.32639,,1.95,-2.01263,0.00457,-2.29536,0.03395,-2.45392,0.03794,-3.09981,0.10135,-4.71597,0.9584,-5.373,0.73335,,1.90001,-1.97033,2.85001,-2.53247,3.80001,-2.91958,6.65001,-3.74328,10.45001,-4.56351,12.35001,-4.96576
,,2.05,-2.18572,0.0097,-2.82689,0.00847,-3.15797,0.02902,-4.5805,0.25746,NaN,NaN,NaN,NaN,,2.00001,-2.12725,3.00001,-2.96798,4.00001,-3.40023,12.00001,-4.88472,20.00001,-5.87372,30.00001,-6.33454,,2.05,-2.07831,0.0048,-2.32512,0.02977,-2.47061,0.03767,-3.11549,0.08994,-4.7308,0.85825,-5.39134,0.66404,,2.00001,-2.04041,3.00001,-2.5877,4.00001,-2.99557,7.00001,-3.78938,11.00001,-4.58409,13.00001,-4.9795
,,2.15,-2.22229,0.01085,-2.826,0.00455,-3.15021,0.0174,-4.57633,0.22303,NaN,NaN,NaN,NaN,,2.10001,-2.1647,3.15001,-2.98507,4.20001,-3.41544,12.60001,-4.89842,21.00001,-5.88133,31.50001,-6.3431,,2.15,-2.15039,0.00594,-2.35331,0.03089,-2.49292,0.03984,-3.12663,0.09647,-4.76492,0.93896,-5.36521,0.60113,,2.10001,-2.11405,3.15001,-2.64552,4.20001,-3.07402,7.35001,-3.83639,11.55001,-4.60567,13.65001,-4.99393
,,2.25,-2.25769,0.01199,-2.84239,0.004,-3.15753,0.00958,-4.58504,0.2388,NaN,NaN,NaN,NaN,,2.20001,-2.20397,3.30001,-3.00299,4.40001,-3.43139,13.20001,-4.91279,22.00001,-5.88931,33.00001,-6.35208,,2.25,-2.2242,0.00849,-2.38543,0.03148,-2.51139,0.03618,-3.13137,0.08233,-4.74435,0.87203,-5.18482,0.37206,,2.20001,-2.19125,3.30001,-2.70587,4.40001,-3.15465,7.70001,-3.88429,12.10001,-4.62821,14.30001,-5.00905
,,2.35,-2.29264,0.00845,-2.86114,0.00249,-3.15848,0.00803,-4.59111,0.15641,NaN,NaN,NaN,NaN,,2.30001,-2.24507,3.45001,-3.02175,4.60001,-3.44808,13.80001,-4.92782,23.00001,-5.89766,34.50001,-6.36148,,2.35,-2.29751,0.012,-2.41045,0.02803,-2.53753,0.0387,-3.13941,0.07823,-4.67342,0.72208,-5.0864,0.17268,,2.30001,-2.27199,3.45001,-2.76869,4.60001,-3.23716,8.05001,-3.93307,12.65001,-4.65172,14.95001,-5.02486
,,2.45,-2.33181,0.00935,-2.86828,0.00572,-3.16567,0.02108,-4.59963,0.2037,NaN,NaN,NaN,NaN,,2.40001,-2.28799,3.60001,-3.04134,4.80001,-3.46551,14.40001,-4.94352,24.00001,-5.90639,36.00001,-6.37129,,2.45,-2.3745,0.00974,-2.44371,0.02126,-2.56068,0.03545,-3.15003,0.06553,-4.6049,0.66136,-5.12752,0.2302,,2.40001,-2.35626,3.60001,-2.83393,4.80001,-3.32121,8.40001,-3.98269,13.20001,-4.67618,15.60001,-5.04135
,,2.55,-2.37012,0.00707,-2.88143,0.00481,-3.16774,0.01957,-4.60449,0.24026,NaN,NaN,NaN,NaN,,2.50001,-2.33273,3.75001,-3.06176,5.00001,-3.48368,15.00001,-4.95989,25.00001,-5.91548,37.50001,-6.38152,,2.55,-2.45674,0.01457,-2.47413,0.01825,-2.5825,0.03446,-3.16299,0.06784,-4.60971,0.61507,-5.06542,0.05024,,2.50001,-2.44407,3.75001,-2.90152,5.00001,-3.40647,8.75001,-4.03315,13.75001,-4.70158,16.25001,-5.05853
,,2.65,-2.41205,0.00477,-2.89192,0.00556,-3.17775,0.01856,-4.63047,0.28245,NaN,NaN,NaN,NaN,,2.60001,-2.37929,3.90001,-3.08301,5.20001,-3.5026,15.60001,-4.97693,26.00001,-5.92495,39.00001,-6.39217,,2.65,-2.5391,0.02004,-2.50484,0.01381,-2.60789,0.03223,-3.17925,0.06008,-4.56132,0.50702,-5.06611,0.00775,,2.60001,-2.53541,3.90001,-2.97138,5.20001,-3.49258,9.10001,-4.0844,14.30001,-4.72792,16.90001,-5.07638
,,2.75,-2.45773,0.00395,-2.90801,0.01083,-3.17733,0.01669,-4.5814,0.20966,NaN,NaN,NaN,NaN,,2.70001,-2.42766,4.05001,-3.1051,5.40001,-3.52225,16.20001,-4.99464,27.00001,-5.93479,40.50001,-6.40324,,2.75,-2.6343,0.02458,-2.53775,0.01294,-2.63259,0.03043,-3.19145,0.05729,-4.53224,0.55544,-5.02569,0.01745,,2.70001,-2.63025,4.05001,-3.04344,5.40001,-3.57922,9.45001,-4.13643,14.85001,-4.75518,17.55001,-5.09491
