   timestep             momentum      temperature  total_potential   total_pressure
      15300      4.885575056e-09     0.2785376906      97563.97656   -0.05593576655
      15400      8.450338207e-09     0.2802380025      97570.60156   -0.05594993383
      15500      1.119729287e-08     0.2824096084       97577.8125   -0.05596028641
      15600      8.680295593e-09     0.2843011022       97585.4375    -0.0559710227
      15700      9.411152746e-09     0.2867391109      97593.32812   -0.05597775429
      15800      4.213224436e-09     0.2885906696      97601.71094   -0.05598566681
      15900      7.568501381e-09     0.2899841368      97610.72656   -0.05599398538
      16000      7.344785224e-09     0.2918617725       97620.0625   -0.05600005761
      16100      1.256618187e-08     0.2937315106      97629.96875   -0.05600552261
      16200      4.002259413e-09     0.2951912582      97640.17188   -0.05601280183
      16300      9.011920099e-09     0.2969360352      97650.64844   -0.05601808801
      16400       3.80245746e-09     0.2983294427      97661.21875   -0.05602578074
      16500      1.965685836e-09      0.299747467      97671.94531   -0.05603291094
      16600      1.089617996e-08     0.3001402617      97682.67969   -0.05604561046
      16700      8.637858429e-09     0.3017387092      97693.14844   -0.05605364218
      16800      1.179385478e-08     0.3032165766      97703.54688   -0.05606403574
      16900      2.703451907e-09     0.3051812351      97713.77344   -0.05607299507
      17000      1.160755314e-08     0.3056851327      97723.95312   -0.05608994141
      17100      7.830024629e-09     0.3082532883       97733.5625   -0.05609905347
      17200      1.379618819e-08     0.3103570342      97743.07812   -0.05611157417
      17300      1.011781237e-08     0.3113459647      97752.41406   -0.05613113195
      17400      9.508181797e-09     0.3129687905      97761.26562   -0.05614952743
      17500      1.004144412e-08     0.3142285645      97769.63281   -0.05617153645
      17600      6.515877171e-09     0.3158757091      97777.84375    -0.0561930947
      17700      4.494496775e-09     0.3176250458      97785.72656   -0.05621513724
      17800      6.179775802e-09     0.3189510405      97793.39062   -0.05624012649
      17900      6.602614455e-09     0.3221937418      97801.11719   -0.05625554919
      18000      4.688710309e-09     0.3235962093      97808.85156   -0.05628077686
      18100      9.085972863e-09     0.3256288171      97816.42188   -0.05630401522
      18200       4.12760226e-09     0.3266323507       97824.0625   -0.05633250996
      18300      9.407822077e-09     0.3285391033       97831.9375   -0.05635670573
      18400      5.165039507e-09     0.3299249113      97840.14844   -0.05638339743
      18500      9.973612158e-09     0.3315874934      97848.71875   -0.05640806258
      18600      8.458626688e-09     0.3323241472      97857.53125   -0.05643736571
      18700      9.525891187e-09       0.33364591      97866.39062    -0.0564632602
      18800      7.215682274e-09     0.3344172537      97875.60156    -0.0564917773
      18900       9.57865165e-09      0.335814029      97884.85938   -0.05651720241
      19000      4.587140445e-09     0.3385964632         97894.25    -0.0565360263
      19100      1.094129587e-08     0.3390792906      97903.92188   -0.05656581372
      19200      4.604461257e-09     0.3386583626      97913.76562    -0.0565998368
      19300      4.977782186e-09     0.3396473527      97923.70312   -0.05662536249
      19400      5.215830434e-09     0.3404333889      97934.04688   -0.05665128678
      19500      1.096495428e-08     0.3418278098       97944.9375   -0.05667348206
      19600      7.581354211e-09     0.3427976072      97956.28906   -0.05669635907
      19700      6.674628406e-09     0.3435465693      97967.67188   -0.05672003329
      19800      4.952078303e-09     0.3435773551      97979.21875    -0.0567462258
      19900      7.192768603e-09      0.345761776      97990.84375   -0.05676178634
      20000      7.938859348e-09     0.3463466763      98002.45312   -0.05678550154
      20100      1.051668708e-08     0.3466456234      98014.23438   -0.05681117252
